Solvent,alpha,beta,beta**2,eps,gamma,n,phi**2,psi**2,smiles
diisopropylether,0.0,0.41,0.1681,3.38,24.86,1.3679,0.0,0.0,CC(C)OC(C)C
dimethylacetamide,0.0,0.78,0.6084,37.7807,47.62,1.438,0.0,0.0,CN(C)C(C)=O
dimethylformamide,0.0,0.74,0.5476,37.219,49.56,1.4305,0.0,0.0,CN(C)C=O
dimethylpyridine,0.0,0.63,0.3969,7.1735,44.64,1.4953,0.390625,0.0,Cc1cccnc1C
dimethylsulfoxide,0.0,0.88,0.7744,46.826,61.78,1.417,0.0,0.0,C[S](C)=O
dodecane,0.0,0.0,0.0,2.006,35.85,1.4216,0.0,0.0,CCCCCCCCCCCC
ethanol,0.37,0.48,0.2304,24.852,31.62,1.3611,0.0,0.0,CCO
ethoxybenzene,0.0,0.32,0.1024,4.1797,46.65,1.5076,0.444889,0.0,CCOc1ccccc1
ethylacetate,0.0,0.45,0.2025,5.9867,33.67,1.3723,0.0,0.0,CCOC(C)=O
ethylbenzene,0.0,0.15,0.0225,2.4339,41.38,1.4959,0.5625,0.0,CCc1ccccc1
fluorobenzene,0.0,0.1,0.01,5.42,38.37,1.4684,0.734449,0.020449,Fc1ccccc1
heptane,0.0,0.0,0.0,1.9113,28.28,1.3878,0.0,0.0,CCCCCCC
heptanol,0.37,0.48,0.2304,11.321,38.5,1.4249,0.0,0.0,CCCCCCCO
hexadecane,0.0,0.0,0.0,2.0402,38.93,1.4345,0.0,0.0,CCCCCCCCCCCCCCCC
hexadecyliodide,0.0,0.15,0.0225,3.5338,46.48,1.4806,0.0,0.0,CCCCCCCCCCCCCCCCI
hexane,0.0,0.0,0.0,1.8819,25.7495,1.3749,0.0,0.0,CCCCCC
hexanol,0.37,0.48,0.2304,12.5102,37.15,1.4178,0.0,0.0,CCCCCCO
iodobenzene,0.0,0.12,0.0144,4.547,55.72,1.62,0.734449,0.0,Ic1ccccc1
isobutanol,0.37,0.48,0.2304,16.7766,32.38,1.3955,0.0,0.0,CC(C)CO
isooctane,0.0,0.0,0.0,1.9358,26.38,1.3915,0.0,0.0,CCCCCC(C)C
isopropanol,0.33,0.56,0.3136,19.2645,30.13,1.3776,0.0,0.0,CC(C)O
isopropylbenzene,0.0,0.16,0.0256,2.3712,39.85,1.4915,0.444889,0.0,CC(C)c1ccccc1
isopropyltoluene,0.0,0.19,0.0361,2.2322,38.34,1.4909,0.36,0.0,CC(C)c1ccccc1C
mesitylene,0.0,0.19,0.0361,2.265,39.65,1.4994,0.444889,0.0,Cc1cc(C)cc(C)c1
methoxyethanol,0.3,0.84,0.7056,17.2,44.39,1.4024,0.0,0.0,COC(C)O
methylenechloride,0.1,0.05,0.0025,8.93,39.15,1.4242,0.0,0.444889,ClCCl
methylformamide,0.4,0.55,0.3025,181.5619,55.4372,1.4319,0.0,0.0,CNC=O
nitrobenzene,0.0,0.28,0.0784,34.8091,57.54,1.5562,0.444889,0.0,[O-][N+](=O)c1ccccc1
nitroethane,0.02,0.33,0.1089,28.2896,46.25,1.3917,0.0,0.0,CC[N+]([O-])=O
nitromethane,0.06,0.31,0.0961,36.5623,52.58,1.3817,0.0,0.0,C[N+]([O-])=O
nonane,0.0,0.0,0.0,1.9605,32.21,1.4054,0.0,0.0,CCCCCCCCC
nonanol,0.37,0.48,0.2304,8.5991,40.14,1.4333,0.0,0.0,CCCCCCCCCO
octane,0.0,0.0,0.0,1.9406,30.4273,1.3974,0.0,0.0,CCCCCCCC
octanol,0.37,0.48,0.2304,9.8629,39.01,1.4295,0.0,0.0,CCCCCCCCO
pentadecane,0.0,0.0,0.0,2.0333,38.34,1.4315,0.0,0.0,CCCCCCCCCCCCCCC
pentane,0.0,0.0,0.0,1.8371,22.3,1.3575,0.0,0.0,CCCCC
pentanol,0.37,0.48,0.2304,15.13,36.5,1.4101,0.0,0.0,CCCCCO
perfluorobenzene,0.0,0.0,0.0,2.029,31.74,1.3777,0.25,0.25,Fc1c(F)c(F)c(F)c(F)c1F
phenylether,0.0,0.2,0.04,3.73,38.5,1.5787,0.851929,0.0,O(c1ccccc1)c2ccccc2
propanol,0.37,0.48,0.2304,20.5237,33.57,1.385,0.0,0.0,CCCO
pyridine,0.0,0.52,0.2704,12.9776,52.62,1.5095,0.693889,0.0,c1ccncc1
secbutanol,0.33,0.56,0.3136,15.9436,32.44,1.3978,0.0,0.0,CCC(C)O
secbutylbenzene,0.0,0.16,0.0256,2.3446,40.35,1.4895,0.36,0.0,CCC(C)c1ccccc1
tetrachloroethene,0.0,0.0,0.0,2.268,45.19,1.5053,0.0,0.444889,ClC(Cl)=C(Cl)Cl
tetrahydrofuran,0.0,0.48,0.2304,7.4257,39.44,1.405,0.0,0.0,C1CCOC1
tetrahydrothiophenedioxide,0.0,0.88,0.7744,43.9622,87.49,1.4833,0.0,0.0,O=[S]1(=O)CCCC1
tetralin,0.0,0.19,0.0361,2.771,47.74,1.5413,0.36,0.0,C1CCc2ccccc2C1
toluene,0.0,0.14,0.0196,2.3741,40.2,1.4961,0.734449,0.0,Cc1ccccc1
tributylphosphate,0.0,1.21,1.4641,8.1781,27.55,1.4224,0.0,0.0,CCCCO[P](=O)(OCCCC)OCCCC
triethylamine,0.0,0.79,0.6241,2.3832,29.1,1.401,0.0,0.0,CCN(CC)CC
trimethylbenzene,0.0,0.19,0.0361,2.3653,42.03,1.5048,0.444889,0.0,Cc1cccc(C)c1C
undecane,0.0,0.0,0.0,1.991,34.85,1.4398,0.0,0.0,CCCCCCCCCCC
water,0.82,0.35,0.1225,78.36,103.62,1.3328,0.0,0.0,O
xylene,0.0,0.16,0.0256,2.3879,41.38,1.4995,0.5625,0.0,Cc1ccccc1C
benzene-water,0.0,0.14,0.0196,2.2706,40.62,1.5011,1.0,0.0,O.c1ccccc1
chlorobenzene-water,0.0,0.07,0.0049,5.6968,47.48,1.5241,0.734449,0.020449,O.Clc1ccccc1
chloroform-water,0.15,0.02,0.0004,4.7113,38.39,1.4459,0.0,0.5625,O.ClC(Cl)Cl
cyclohexane-water,0.0,0.0,0.0,2.0165,35.48,1.4266,0.0,0.0,O.C1CCCCC1
dibromoethane-water,0.1,0.17,0.0289,4.9313,56.93,1.5387,0.0,0.25,O.CC(Br)Br
dibutylether-water,0.0,0.45,0.2025,3.0473,35.98,1.3992,0.0,0.0,O.CCCCOCCCC
dichloroethane-water,0.1,0.11,0.0121,10.125,45.86,1.4448,0.0,0.25,O.CC(Cl)Cl
diethylether-water,0.0,0.41,0.1681,4.24,23.96,1.3526,0.0,0.0,O.CCOCC
ethylacetate-water,0.0,0.45,0.2025,5.9867,33.67,1.3723,0.0,0.0,O.CCOC(C)=O
heptane-water,0.0,0.0,0.0,1.9113,28.28,1.3878,0.0,0.0,O.CCCCCCC
hexane-water,0.0,0.0,0.0,1.8819,25.7495,1.3749,0.0,0.0,O.CCCCCC
nitrobenzene-water,0.0,0.28,0.0784,34.8091,57.54,1.5562,0.444889,0.0,O.[O-][N+](=O)c1ccccc1
octanol-water,0.37,0.48,0.2304,9.8629,39.01,1.4295,0.0,0.0,O.CCCCCCCCO
methanol,0.43,0.47,0.2209,32.613,31.77,1.3288,0.0,0.0,CO
